관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26530-00001,모라어울림공원,어린이공원,부산광역시 사상구 사상로439번길 47,부산광역시 사상구 모라동 713-11,35.1842392,128.9836086,1576.2,,,,,,1968-11-29,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00002,야시곡공원,어린이공원,부산광역시 사상구 백양대로950번나길 94,부산광역시 사상구 모라동 1325,35.194794,128.9948069,2424.5,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00003,곡상골공원,어린이공원,부산광역시 사상구 백양대로 949-20,부산광역시 사상구 모라동 1345-6,35.19153821,128.9909285,830.4,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00004,고동바위공원,어린이공원,부산광역시 사상구 백양대로907번다길 6,부산광역시 사상구 모라동 1359,35.188206,128.9902926,1684.1,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00005,운수공원,어린이공원,부산광역시 사상구 모라로192번길 20-21,부산광역시 사상구 모라동 75-3,35.18340104,129.0006778,1536.2,,,,,,1990-06-23,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00006,모라백양공원,어린이공원,부산광역시 사상구 모라로192번길 136,부산광역시 사상구 모라동 75-5,35.182139,129.0016374,2404.1,,,,,,1990-06-23,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00007,서당골공원,어린이공원,부산광역시 사상구 모라로192번길 151,부산광역시 사상구 모라동 75-15,35.18159924,129.0016108,6091.6,,,,,,1990-06-23,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00008,덕포공원,어린이공원,부산광역시 사상구 사상로386번길 42,부산광역시 사상구 덕포동 365-1,35.178556,128.9876612,1670.1,,,,,,1968-11-29,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00009,덕포체육공원,어린이공원,부산광역시 사상구 덕상로 69,부산광역시 사상구 덕포동 763,35.17759531,128.9892872,4573.6,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00010,덕포백양공원,어린이공원,부산광역시 사상구 백양대로762번길 17,부산광역시 사상구 덕포동 776-1,35.174907,128.9895802,1602.1,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00011,창날공원,어린이공원,부산광역시 사상구 광장로87번길 30,부산광역시 사상구 괘법동 537-2,35.16389142,128.985594,1689.9,,,,,,1968-11-29,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00012,창신공원,어린이공원,부산광역시 사상구 양지로22번길 39,부산광역시 사상구 주례동 294,35.15560251,129.0045877,1507.1,,,,,,1984-09-19,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00013,양지1공원,어린이공원,부산광역시 사상구 양지로42번길 80-20,부산광역시 사상구 주례동 306,35.155144,129.0032654,2297.9,,,,,,1984-09-19,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00014,양지2공원,어린이공원,부산광역시 사상구 양지로 18,부산광역시 사상구 주례동 314,35.15408151,129.0044646,2260.5,,,,,,1984-09-19,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00015,주례백양공원,어린이공원,부산광역시 사상구 백양대로500번길 21,부산광역시 사상구 주례동 961,35.155438,128.9983131,1500,,,,,,1984-09-19,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00016,다솜공원,어린이공원,부산광역시 사상구 진사로24번길 9,"부산광역시 사상구 주례동 54-228, 237",35.149216,129.0156066,452,,,,,,1994-11-25,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00017,새싹공원,어린이공원,부산광역시 사상구 진사로28번길 26,"부산광역시 사상구 주례동 54-230, 238",35.14908352,129.0146437,208,,,,,,1994-11-25,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00018,구덕공원,어린이공원,,"부산광역시 사상구 학장동 168-5, 6, 20",35.1391941,128.9911134,2336.8,,,,,,1990-12-31,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00019,구학공원,어린이공원,부산광역시 사상구 학감대로49번길 54-16,부산광역시 사상구 학장동 168-9,35.13574464,128.9919603,3213,,,,,,1990-12-31,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00020,장밭갓공원,어린이공원,부산광역시 사상구 엄궁로 154,부산광역시 사상구 엄궁동 669-1,35.12893558,128.9781865,3882.5,,,,,,1996-01-15,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00021,절골공원,어린이공원,부산광역시 사상구 엄궁로 146-11,부산광역시 사상구 엄궁동 669-4,35.12811765,128.9794237,2047.4,,,,,,1996-01-15,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00022,다온공원,어린이공원,부산광역시 사상구 엄궁로 119,부산광역시 사상구 엄궁동 674-2,35.12621941,128.9770501,1532.1,,,,,,1996-01-15,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00023,보듬공원,어린이공원,부산광역시 사상구 엄궁로 40,부산광역시 사상구 엄궁동 683-2,35.12452472,128.9691928,1500.3,,,,,,1996-01-15,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00024,도담공원,어린이공원,부산광역시 사상구 엄궁로 14,부산광역시 사상구 엄궁동 683-4,35.12436409,128.9680361,2305.3,,,,,,1996-01-15,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00025,나라어린이공원,어린이공원,부산광역시 사상구 엄궁북로 70,부산광역시 사상구 엄궁동 726-2,35.12757501,128.9778343,2769.9,,,,,,1996-01-13,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00026,사상공원,근린공원,,부산광역시 사상구 감전동 41,35.159391,128.9933232,620865,,,,,,1972-12-30,부산광역시 사상구청,051-310-4524,2026-06-09
26530-00027,모라공원,근린공원,부산광역시 사상구 덕상로 129,부산광역시 사상구 모라동 1365-1,35.183318,128.9905626,13352.3,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00028,해름소공원,소공원,부산광역시 사상구 농산물시장로26번길 45,부산광역시 사상구 엄궁동 652-16,35.12486809,128.9656458,835,,,,,,2008-04-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00029,다누림공원,소공원,부산광역시 사상구 가야대로196번길 51,부산광역시 사상구 학장동 288-12,35.14744572,128.9948438,1300,,,,,,2008-12-24,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00030,모라벤처타워공원,소공원,부산광역시 사상구 모라로64번길 46,부산광역시 사상구 모라동 1375-3,35.19004594,128.9864313,735.8,,,,,,2012-04-11,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00031,주감공원,소공원,부산광역시 사상구 백양대로 526,부산광역시 사상구 주례동 1288-1,35.15579312,128.9959911,1250,,,,,,2013-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00032,모라틔움공원,소공원,부산광역시 사상구 백양대로934번길 84,부산광역시 사상구 모라동 1385,35.19167904,128.9941051,7701.3,,,,,,2015-05-27,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00033,부산도서관 인근 문화공원,문화공원,,"부산광역시 사상구 덕포동 415-1, 413-1",35.1735617,128.9849524,3160,,,,,,2017-07-19,부산광역시 사상구청,051-310-4521,2026-06-09
